Close,High,Low,Open,Volume
NVDA,NVDA,NVDA,NVDA,NVDA
2.8070218563079834,2.811209416594818,2.7062695081961086,2.7240057347865796,590004000
2.8424947261810303,2.8511167555003443,2.7604643431513707,2.791010162561882,483240000
2.8176138401031494,2.8550573195396196,2.805789768907063,2.843972091281518,372744000
2.889791965484619,2.8902846059293705,2.8082539812576464,2.8082539812576464,506768000
2.9346251487731934,2.978719634281313,2.904325533608113,2.924032558362817,746224000
2.9218153953552246,2.939058982317125,2.866881884863915,2.9166423192666544,449580000
2.86688232421875,2.932901074996274,2.8476681729030306,2.927974200865677,842568000
2.798893690109253,2.973300880277284,2.773767144900028,2.9543329287070645,1651092000
2.669811964035034,2.807761145893304,2.6653777304875077,2.7932271966137647,1180724000
2.6796646118164062,2.713412935768507,2.6183263194451154,2.660203794862286,850632000
2.6850838661193848,2.7047908855644804,2.6545380564573477,2.6826206648834,373020000
2.6419758796691895,2.6959238828624623,2.6028080290329916,2.694692164328324,647176000
2.64148211479187,2.6459163470067906,2.5813757740950884,2.628426325593885,563740000
2.736076831817627,2.7400181899081457,2.6658702896133506,2.6661167272742525,551952000
2.7318837642669678,2.757535277097903,2.7128916431001615,2.748162590854079,433772000
2.4785749912261963,2.6240978944116904,2.458596582634794,2.6021462022156863,1592888000
2.502500057220459,2.5158190751690115,2.3604302188055613,2.3942211434015612,1029904000
2.5752620697021484,2.590307625920008,2.504967146037373,2.520752713196892,715400000
2.502993106842041,2.594746673575514,2.48572775823054,2.584880491257247,625360000
2.535304307937622,2.5742748352564675,2.493867234975406,2.5599690587031096,504804000
2.441823720932007,2.536537079032118,2.4391106623945857,2.5224780539130687,754332000
2.427765130996704,2.436151055904293,2.3732555605951715,2.4312182004097194,864692000
2.409020185470581,2.4196261441961866,2.3473579520175183,2.391508086706745,883568000
2.4354114532470703,2.4548968355328618,2.396194410454704,2.4090201662010413,603400000
2.430971384048462,2.4985532195668276,2.4287515873766203,2.483754183050041,638712000
2.43047833442688,2.452923286947469,2.4023602801991895,2.414939521143395,478060000
2.4447848796844482,2.468709863429791,2.426532999977667,2.456870863539052,499740000
2.5121190547943115,2.5219850010115055,2.454403163573507,2.455143174226042,774136000
2.5103931427001953,2.5343178859129663,2.4780820020499306,2.524945434621436,522016000
2.529383897781372,2.5402363658906557,2.4743810762845664,2.5219844983988,615036000
2.560462236404419,2.5609557336950206,2.525931539426185,2.5399905668627794,523100000
2.6162056922912598,2.617438965359009,2.560462831653805,2.577974932859388,1119688000
2.6995725631713867,2.7035191306116193,2.6176851699620736,2.633717482728278,748568000
2.6122591495513916,2.7121521519963663,2.6043664841091028,2.682307555048558,913484000
2.6655349731445312,2.6702213158940307,2.597213115510211,2.601159447503804,616764000
2.6413633823394775,2.67762085331846,2.6317441829167767,2.657642208456938,533940000
2.650735855102539,2.6956259976508634,2.62483783164547,2.6877333338990153,439500000
2.6699745655059814,2.6739208974970197,2.5547895156739826,2.60411925361882,506644000
2.656162738800049,2.6857605866133656,2.645803527348806,2.671208293796776,432444000
2.6475300788879395,2.675894653814122,2.6453102814522635,2.6635621583436295,349992000
2.6983389854431152,2.713138023615383,2.649009250240109,2.65468211686334,525532000
2.68674635887146,2.710424818672019,2.673674091477394,2.688719642262413,440808000
2.6731810569763184,2.704505433929191,2.6495025951602504,2.687240084873924,445232000
2.4857285022735596,2.575508812372408,2.474876027786865,2.5503505574203214,1271280000
2.4672293663024902,2.524945268029662,2.454156861693119,2.4669826176324903,747048000
2.485234260559082,2.497320003441405,2.4272716210477836,2.4724085070284954,635120000
2.4746294021606445,2.5091603466600487,2.4595838452297287,2.491648243288572,429068000
2.411487102508545,2.4820285353146954,2.4072940210618827,2.475369142919517,756332000
2.420119524002075,2.439358158711057,2.37646264930355,2.3813955059038516,618148000
2.4001405239105225,2.434424707258748,2.394960919395127,2.420119166486141,414092000
2.3552513122558594,2.39767492447163,2.3552513122558594,2.375969973715632,506892000
2.4474968910217285,2.4477434044106303,2.362896224533951,2.3680758283732803,497292000
2.448976993560791,2.4551433574208463,2.407293408846828,2.433191431390871,370116000
2.458596706390381,2.4906608612142427,2.4519370797095323,2.466489370760584,380828000
2.4975671768188477,2.5022535196836584,2.451937021053346,2.4731489382778067,404016000
2.5079264640808105,2.510639523372537,2.4753688116890555,2.4872078083261204,341896000
2.5392510890960693,2.5523233599178434,2.5185326665606773,2.539497602570378,371820000
2.5834012031555176,2.597953495569001,2.5323449229724018,2.553803356162077,388440000
2.5656423568725586,2.599433046834552,2.5636690731624556,2.5969667362253697,327004000
2.6055989265441895,2.6139848515004056,2.555035922512371,2.57304128033399,319700000
2.5725481510162354,2.6055990609615076,2.5668750493212547,2.5986929217391572,348248000
2.6302638053894043,2.6354436450192313,2.5762477292387205,2.5834006170868387,307732000
2.55232310295105,2.6046128866419753,2.529631398791877,2.603379613726256,629972000
2.571315288543701,2.580934488217458,2.530618222187877,2.5454170271048513,336904000
2.5614490509033203,2.5885803470020936,2.553556151979291,2.577481126956519,209788000
2.5616958141326904,2.568848703025126,2.534317766713558,2.5498568174262815,228428000
2.534810781478882,2.575014342203539,2.523464813836378,2.5735345561054985,365240000
2.5390045642852783,2.58808780062056,2.5320984228311727,2.540484586152759,847672000
2.991605043411255,3.004677548788014,2.812291433626661,2.818950825434514,2129096000
3.120107889175415,3.2170410368419122,2.957566432792786,2.9610195016725824,1939792000
3.1543924808502197,3.1965695587338345,3.102349692199069,3.1233148568311733,962620000
3.31274151802063,3.315208063624736,3.1911435953664706,3.195583424498409,1087540000
